Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Accuracy,Precision,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,ADA_WSVM,10,10,0.8,0.869565217,0.0625,0.233126202,0.086956522,0.661290323,0.142857143,0.466032609,"[[40  6]
 [15  1]]","[0.2295081967213116, 0.41109422492401193, 0.5000000000000001, 0.5000000000000001, 0.49999999999999994, 0.49999999999999994, 0.5, 0.5000000000000001, 0.4999999999999999, 0.5]","[0.6055451360473997, 0.17972187525343317, -2.2204460492503136e-16, -2.2204460492503136e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 0.0, -2.2204460492503136e-16, 2.2204460492503126e-16, 0.0]"
0.2,ImADA1_SVM,10,10,0.8,0.02173913,0.9375,0.14276006,0.394736842,0.258064516,0.25,0.479619565,"[[ 1 45]
 [ 1 15]]","[0.7777274306237191, 0.3376880103137089, 0.5840182345112644, 0.4459842353916593, 0.5356435030465245, 0.47375512755017507, 0.522424872316873, 0.4865690760733566, 0.5223655569089954, 0.4804854823900786]","[-0.6262358489065066, 0.336807152813821, -0.16964538973908813, 0.10845476878713524, -0.07140813195396092, 0.052538030861436144, -0.04487985272726166, 0.02686831145336703, -0.04476098343787198, 0.03904887054714039]"
0.2,ImADA2_SVM,10,10,0.8,0.782608696,0.125,0.312771621,0.142857143,0.612903226,0.166666667,0.453804348,"[[36 10]
 [14  2]]","[0.3495028218220909, 0.5569992507972151, 0.48951127410769824, 0.5017777818941336, 0.49969434399338397, 0.5000524235083131, 0.4999910049954871, 0.5000015432825237, 0.4999997352141012, 0.5000000454300639]","[0.3106126622455212, -0.11449621680608138, 0.020980529664213442, -0.0035555787715667135, 0.0006113120893816139, -0.0001048470170104505, 1.799000902771794e-05, -3.086565047312641e-06, 5.295717976320784e-07, -9.086012785036678e-08]"
0.2,ImADA_12_SVM,10,10,0.8,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.9505949049028665, 0.8461297169514382, 0.5261921919936534, 0.4964006221124604, 0.5004781574262196, 0.4999361901567456, 0.5000085102330217, 0.49999886490997403, 0.500000151396029, 0.49999997980707267]","[-1.4785172228985743, -0.8522813739920675, -0.05243237944502853, 0.007198880130456396, -0.0009563151439681122, 0.00012761968720158309, -1.7020466045111065e-05, 2.2701800519852713e-06, -3.027920580719497e-07, 4.03858546948024e-08]"
0.2,ImADA1_WSVM,10,10,0.8,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.7777274306237191, 0.5000000000000003, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983]","[-0.6262358489065066, -6.661338147750944e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16]"
0.2,ImADA2_WSVM,10,10,0.8,0.782608696,0.1875,0.383065439,0.206896552,0.629032258,0.230769231,0.485054348,"[[36 10]
 [13  3]]","[0.3495028218220909, 0.5569992507972151, 0.4597518551168151, 0.5233634014010885, 0.4817722888487887, 0.5133942647901447, 0.48881593454347316, 0.5084289141759193, 0.49962487874516437, 0.49890708733377964]","[0.3106126622455212, -0.11449621680608138, 0.08067083151871085, -0.04676085509825552, 0.036471584917961083, -0.02679494038319325, 0.02237186254012523, -0.016859425545907598, 0.0007502426504327525, 0.0021858288136197375]"
0.2,ImADA_12_WSVM,10,10,0.8,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.9505949049028665, 0.24064624045219435, 0.4468971103367947, 0.5085826360552571, 0.49851246823191897, 0.5002547762273216, 0.4999562742577939, 0.5000075017670165, 0.49999871288895115, 0.5000002208330104]","[-1.4785172228985743, 0.5745698910082212, 0.10660782578597346, -0.017166958304787285, 0.0029750723136408204, -0.0005095524987439516, 8.745148463519185e-05, -1.5003534034065615e-05, 2.574222097663911e-06, -4.4166602086989074e-07]"
0.2,WSVM,10,10,1,0.847826087,0.125,0.325543025,0.16,0.661290323,0.222222222,0.486413043,"[[39  7]
 [14  2]]",None,None
0.2,ADA_WSVM,10,10,1,0.869565217,0.0625,0.233126202,0.086956522,0.661290323,0.142857143,0.466032609,"[[40  6]
 [15  1]]","[0.2295081967213116, 0.41109422492401193, 0.5000000000000001, 0.5000000000000001, 0.49999999999999994, 0.49999999999999994, 0.5, 0.5000000000000001, 0.4999999999999999, 0.5]","[0.6055451360473997, 0.17972187525343317, -2.2204460492503136e-16, -2.2204460492503136e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 0.0, -2.2204460492503136e-16, 2.2204460492503126e-16, 0.0]"
0.2,ImADA1_SVM,10,10,1,0.152173913,0.875,0.364900225,0.405797101,0.338709677,0.264150943,0.513586957,"[[ 7 39]
 [ 2 14]]","[0.733606557377049, 0.3376880103137088, 0.5840182345112644, 0.4459842353916592, 0.5356435030465245, 0.473755127550175, 0.522424872316873, 0.48656907607335675, 0.5223655569089954, 0.48048548239007854]","[-0.5064992679725586, 0.3368071528138212, -0.16964538973908813, 0.1084547687871354, -0.07140813195396092, 0.05253803086143624, -0.04487985272726166, 0.026868311453366715, -0.04476098343787198, 0.03904887054714049]"
0.2,ImADA2_SVM,10,10,1,0.782608696,0.125,0.312771621,0.142857143,0.612903226,0.166666667,0.453804348,"[[36 10]
 [14  2]]","[0.3495028218220909, 0.5569992507972151, 0.48951127410769824, 0.5017777818941336, 0.49969434399338397, 0.5000524235083131, 0.4999910049954871, 0.5000015432825237, 0.4999997352141012, 0.5000000454300639]","[0.3106126622455212, -0.11449621680608138, 0.020980529664213442, -0.0035555787715667135, 0.0006113120893816139, -0.0001048470170104505, 1.799000902771794e-05, -3.086565047312641e-06, 5.295717976320784e-07, -9.086012785036678e-08]"
0.2,ImADA_12_SVM,10,10,1,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.9290345337274926, 0.8262032085561501, 0.5261921919936537, 0.4964006221124606, 0.5004781574262195, 0.49993619015674573, 0.5000085102330216, 0.499998864909974, 0.5000001513960289, 0.49999997980707267]","[-1.2859762714736127, -0.7794770035010556, -0.05243237944502921, 0.007198880130455958, -0.0009563151439678897, 0.0001276196872013611, -1.702046604488901e-05, 2.2701800519852713e-06, -3.02792057849905e-07, 4.03858546948024e-08]"
0.2,ImADA1_WSVM,10,10,1,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.733606557377049, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002]","[-0.5064992679725586, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16]"
0.2,ImADA2_WSVM,10,10,1,0.782608696,0.1875,0.383065439,0.206896552,0.629032258,0.230769231,0.485054348,"[[36 10]
 [13  3]]","[0.3495028218220909, 0.5569992507972151, 0.4597518551168151, 0.5233634014010885, 0.4817722888487887, 0.5133942647901447, 0.48881593454347316, 0.5084289141759193, 0.49962487874516437, 0.49890708733377964]","[0.3106126622455212, -0.11449621680608138, 0.08067083151871085, -0.04676085509825552, 0.036471584917961083, -0.02679494038319325, 0.02237186254012523, -0.016859425545907598, 0.0007502426504327525, 0.0021858288136197375]"
0.2,ImADA_12_WSVM,10,10,1,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.9290345337274926, 0.259232159497694, 0.4720810818803872, 0.5046392377551724, 0.4991996785290317, 0.5001371848479, 0.4999764590175421, 0.5000040388826549, 0.4999993070340111, 0.5000001188940706]","[-1.2859762714736127, 0.5249816208113676, 0.05589597663467732, -0.009278741785751433, 0.0016006443089186383, -0.00027436970268481827, 4.7081964950490435e-05, -8.077765309946208e-06, 1.3859319778362752e-06, -2.3778814115480315e-07]"
0.2,WSVM,10,10,1.5,0.847826087,0.125,0.325543025,0.16,0.661290323,0.222222222,0.486413043,"[[39  7]
 [14  2]]",None,None
0.2,ADA_WSVM,10,10,1.5,0.869565217,0.0625,0.233126202,0.086956522,0.661290323,0.142857143,0.466032609,"[[40  6]
 [15  1]]","[0.2295081967213116, 0.41109422492401193, 0.5000000000000001, 0.5000000000000001, 0.49999999999999994, 0.49999999999999994, 0.5, 0.5000000000000001, 0.4999999999999999, 0.5]","[0.6055451360473997, 0.17972187525343317, -2.2204460492503136e-16, -2.2204460492503136e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 0.0, -2.2204460492503136e-16, 2.2204460492503126e-16, 0.0]"
0.2,ImADA1_SVM,10,10,1.5,0.717391304,0.4375,0.560230931,0.388888889,0.64516129,0.35,0.577445652,"[[33 13]
 [ 9  7]]","[0.6392492700792801, 0.3376880103137088, 0.5840182345112641, 0.4459842353916595, 0.5356435030465246, 0.4737551275501751, 0.5224248723168727, 0.4865690760733566, 0.5223655569089954, 0.4804854823900785]","[-0.2860536256686172, 0.3368071528138212, -0.1696453897390874, 0.10845476878713496, -0.07140813195396117, 0.05253803086143594, -0.044879852727261235, 0.02686831145336703, -0.04476098343787198, 0.039048870547140596]"
0.2,ImADA2_SVM,10,10,1.5,0.782608696,0.125,0.312771621,0.142857143,0.612903226,0.166666667,0.453804348,"[[36 10]
 [14  2]]","[0.3495028218220909, 0.5569992507972151, 0.48951127410769824, 0.5017777818941336, 0.49969434399338397, 0.5000524235083131, 0.4999910049954871, 0.5000015432825237, 0.4999997352141012, 0.5000000454300639]","[0.3106126622455212, -0.11449621680608138, 0.020980529664213442, -0.0035555787715667135, 0.0006113120893816139, -0.0001048470170104505, 1.799000902771794e-05, -3.086565047312641e-06, 5.295717976320784e-07, -9.086012785036678e-08]"
0.2,ImADA_12_SVM,10,10,1.5,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.8698589108616679, 0.7904441336030315, 0.5261921919936535, 0.4964006221124607, 0.5004781574262196, 0.4999361901567455, 0.5000085102330216, 0.4999988649099738, 0.5000001513960293, 0.49999997980707245]","[-0.9498559320339027, -0.6638023063652866, -0.052432379445028716, 0.0071988801304557395, -0.0009563151439681122, 0.00012761968720180508, -1.702046604488901e-05, 2.270180052429359e-06, -3.027920585160392e-07, 4.038585513889157e-08]"
0.2,ImADA1_WSVM,10,10,1.5,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.6392492700792801, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002]","[-0.2860536256686172, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16]"
0.2,ImADA2_WSVM,10,10,1.5,0.782608696,0.1875,0.383065439,0.206896552,0.629032258,0.230769231,0.485054348,"[[36 10]
 [13  3]]","[0.3495028218220909, 0.5569992507972151, 0.4597518551168151, 0.5233634014010885, 0.4817722888487887, 0.5133942647901447, 0.48881593454347316, 0.5084289141759193, 0.49962487874516437, 0.49890708733377964]","[0.3106126622455212, -0.11449621680608138, 0.08067083151871085, -0.04676085509825552, 0.036471584917961083, -0.02679494038319325, 0.02237186254012523, -0.016859425545907598, 0.0007502426504327525, 0.0021858288136197375]"
0.2,ImADA_12_WSVM,10,10,1.5,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.8698589108616679, 0.2865684178454913, 0.5125735491225524, 0.5095294269123913, 0.4872729026534285, 0.5080285550570944, 0.4938709657044499, 0.501382029198921, 0.4996777122596192, 0.5001467273102891]","[-0.9498559320339027, 0.4560546142336214, -0.02515240106902395, -0.01906116197329426, 0.025459694224811657, -0.01605849033348267, 0.012258682613257998, -0.002764065437027125, 0.0006445755700304873, -0.00029345462900183647]"
0.2,WSVM,10,10,2,0.847826087,0.125,0.325543025,0.16,0.661290323,0.222222222,0.486413043,"[[39  7]
 [14  2]]",None,None
0.2,ADA_WSVM,10,10,2,0.869565217,0.0625,0.233126202,0.086956522,0.661290323,0.142857143,0.466032609,"[[40  6]
 [15  1]]","[0.2295081967213116, 0.41109422492401193, 0.5000000000000001, 0.5000000000000001, 0.49999999999999994, 0.49999999999999994, 0.5, 0.5000000000000001, 0.4999999999999999, 0.5]","[0.6055451360473997, 0.17972187525343317, -2.2204460492503136e-16, -2.2204460492503136e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 0.0, -2.2204460492503136e-16, 2.2204460492503126e-16, 0.0]"
0.2,ImADA1_SVM,10,10,2,0.673913043,0.375,0.502710047,0.324324324,0.596774194,0.285714286,0.524456522,"[[31 15]
 [10  6]]","[0.37354156065724886, 0.6282747033870274, 0.4181194679320142, 0.5496933939650903, 0.4838104264769717, 0.4866244228938995, 0.5196217384269274, 0.4917593854792236, 0.49586258427923685, 0.5113047791338632]","[0.2585265811995366, -0.26241118254070694, 0.1652489775802214, -0.09971597988476423, 0.03239046970086449, 0.026757538211790527, -0.03926364113460694, 0.01648272155522617, 0.008275020316343189, -0.022613412059191342]"
0.2,ImADA2_SVM,10,10,2,0.782608696,0.125,0.312771621,0.142857143,0.612903226,0.166666667,0.453804348,"[[36 10]
 [14  2]]","[0.3495028218220909, 0.5569992507972151, 0.48951127410769824, 0.5017777818941336, 0.49969434399338397, 0.5000524235083131, 0.4999910049954871, 0.5000015432825237, 0.4999997352141012, 0.5000000454300639]","[0.3106126622455212, -0.11449621680608138, 0.020980529664213442, -0.0035555787715667135, 0.0006113120893816139, -0.0001048470170104505, 1.799000902771794e-05, -3.086565047312641e-06, 5.295717976320784e-07, -9.086012785036678e-08]"
0.2,ImADA_12_SVM,10,10,2,0.304347826,0.75,0.477766543,0.4,0.419354839,0.272727273,0.527173913,"[[14 32]
 [ 4 12]]","[0.5800803804770229, 0.46822938701782696, 0.501821012470463, 0.4997592302089893, 0.5000317608512652, 0.49999580903405644, 0.5000005529918513, 0.4999999270331449, 0.5000000096279148, 0.4999999987296043]","[-0.16155168504707212, 0.06362694935764644, -0.0036420410440799822, 0.0004815396192412244, -6.352170261584587e-05, 8.381931887416524e-06, -1.1059837026314366e-06, 1.4593371024682958e-07, -1.925582957970652e-08, 2.5407913486322696e-09]"
0.2,ImADA1_WSVM,10,10,2,0.608695652,0.375,0.477766543,0.3,0.548387097,0.25,0.491847826,"[[28 18]
 [10  6]]","[0.37354156065724886, 0.6282747033870274, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.2585265811995366, -0.26241118254070694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,ImADA2_WSVM,10,10,2,0.782608696,0.1875,0.383065439,0.206896552,0.629032258,0.230769231,0.485054348,"[[36 10]
 [13  3]]","[0.3495028218220909, 0.5569992507972151, 0.4597518551168151, 0.5233634014010885, 0.4817722888487887, 0.5133942647901447, 0.48881593454347316, 0.5084289141759193, 0.49962487874516437, 0.49890708733377964]","[0.3106126622455212, -0.11449621680608138, 0.08067083151871085, -0.04676085509825552, 0.036471584917961083, -0.02679494038319325, 0.02237186254012523, -0.016859425545907598, 0.0007502426504327525, 0.0021858288136197375]"
0.2,ImADA_12_WSVM,10,10,2,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.5800803804770229, 0.7765577168059626, 0.276946882859494, 0.5643327790710269, 0.4595490496657713, 0.5220308370738591, 0.4826376908845027, 0.5127944034796817, 0.4893162789592249, 0.5080463301176529]","[-0.16155168504707212, -0.6228589146499308, 0.47982847899085485, -0.12938270706932947, 0.08107910121926482, -0.04409022164416046, 0.03473858530854942, -0.025594394227679382, 0.021370694866448266, -0.016094049643197713]"
0.2,WSVM,10,100,0.1,0.847826087,0.125,0.325543025,0.16,0.661290323,0.222222222,0.486413043,"[[39  7]
 [14  2]]",None,None
0.2,ADA_WSVM,10,100,0.1,0.847826087,0.125,0.325543025,0.16,0.661290323,0.222222222,0.486413043,"[[39  7]
 [14  2]]","[0.2295081967213116, 0.41109422492401193, 0.5000000000000001, 0.5000000000000001, 0.49999999999999994, 0.49999999999999994, 0.5, 0.5000000000000001, 0.4999999999999999, 0.5]","[0.6055451360473997, 0.17972187525343317, -2.2204460492503136e-16, -2.2204460492503136e-16, 1.1102230246251564e-16, 1.1102230246251564e-16, 0.0, -2.2204460492503136e-16, 2.2204460492503126e-16, 0.0]"
0.2,ImADA1_SVM,10,100,0.1,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.9676361966077837, 0.33347657928663466, 0.576786800335001, 0.4292413650894761, 0.5419756129751188, 0.5086669024727708, 0.5000000000000001, 0.5, 0.4999999999999999, 0.5000000000000001]","[-1.6989077838241868, 0.34625132149666116, -0.15479831560760024, 0.14247351552658777, -0.08414928822033478, -0.017335541301508182, -2.2204460492503136e-16, 0.0, 2.2204460492503126e-16, -2.2204460492503136e-16]"
0.2,ImADA2_SVM,10,100,0.1,0.826086957,0.125,0.321342293,0.153846154,0.64516129,0.2,0.475543478,"[[38  8]
 [14  2]]","[0.3495028218220909, 0.5569992507972151, 0.48951127410769824, 0.5017777818941336, 0.49969434399338397, 0.5000524235083131, 0.4999910049954871, 0.5000015432825237, 0.4999997352141012, 0.5000000454300639]","[0.3106126622455212, -0.11449621680608138, 0.020980529664213442, -0.0035555787715667135, 0.0006113120893816139, -0.0001048470170104505, 1.799000902771794e-05, -3.086565047312641e-06, 5.295717976320784e-07, -9.086012785036678e-08]"
0.2,ImADA_12_SVM,10,100,0.1,0,1,0,0.41025641,0.258064516,0.258064516,0.5,"[[ 0 46]
 [ 0 16]]","[0.99895258422999, 0.05986870799882749, 0.3980734547576938, 0.4984758273042996, 0.5001720241087733, 0.49998054939419945, 0.5000021988105804, 0.4999997514277861, 0.5000000281006394, 0.4999999968232726]","[-3.4301906775997435, 1.376932786628911, 0.20674943602301052, 0.0030483548336113944, -0.0003440482311214198, 3.890121162069453e-05, -4.3976211608191085e-06, 4.971444278297441e-07, -5.62012787363999e-08, 6.353454721931485e-09]"
